file_name,label,augmentations
augmented_20250214_1853\aug_0.jpg,1.0,
augmented_20250214_1853\aug_1.jpg,1.0,random_flip_color_jitter_random_erasing_grid_distortion
augmented_20250214_1853\aug_2.jpg,0.0,
augmented_20250214_1853\aug_3.jpg,0.0,random_flip_random_rotation_random_erasing_random_crop
augmented_20250214_1853\aug_4.jpg,0.0,
augmented_20250214_1853\aug_5.jpg,0.0,random_rotation_random_erasing
augmented_20250214_1853\aug_6.jpg,1.0,
augmented_20250214_1853\aug_7.jpg,1.0,random_rotation_random_affine_random_erasing
augmented_20250214_1853\aug_8.jpg,0.0,
augmented_20250214_1853\aug_9.jpg,0.0,color_jitter_random_affine
augmented_20250214_1853\aug_10.jpg,1.0,
augmented_20250214_1853\aug_11.jpg,1.0,random_flip_random_rotation_color_jitter_random_crop
augmented_20250214_1853\aug_12.jpg,0.0,
augmented_20250214_1853\aug_13.jpg,0.0,color_jitter_gaussian_blur_add_glare_contrast_shift
augmented_20250214_1853\aug_14.jpg,0.0,
augmented_20250214_1853\aug_15.jpg,0.0,random_flip_random_rotation_color_jitter_random_perspective
augmented_20250214_1853\aug_16.jpg,1.0,
augmented_20250214_1853\aug_17.jpg,1.0,random_erasing
augmented_20250214_1853\aug_18.jpg,0.0,
augmented_20250214_1853\aug_19.jpg,0.0,random_perspective_random_erasing_salt_pepper
augmented_20250214_1853\aug_20.jpg,0.0,
augmented_20250214_1853\aug_21.jpg,0.0,random_flip_color_jitter_random_affine_gaussian_blur
augmented_20250214_1853\aug_22.jpg,0.0,
augmented_20250214_1853\aug_23.jpg,0.0,random_flip_random_rotation_color_jitter_salt_pepper
augmented_20250214_1853\aug_24.jpg,1.0,
augmented_20250214_1853\aug_25.jpg,1.0,color_jitter_elastic_transform_contrast_shift
augmented_20250214_1853\aug_26.jpg,0.0,
augmented_20250214_1853\aug_27.jpg,0.0,random_flip_random_rotation_color_jitter_gaussian_blur
augmented_20250214_1853\aug_28.jpg,0.0,
augmented_20250214_1853\aug_29.jpg,0.0,random_flip_color_jitter_contrast_shift_random_crop
augmented_20250214_1853\aug_30.jpg,0.0,
augmented_20250214_1853\aug_31.jpg,0.0,color_jitter_random_perspective_random_erasing
augmented_20250214_1853\aug_16.jpg,1.0,
augmented_20250214_1853\aug_17.jpg,1.0,random_rotation_salt_pepper_random_crop
augmented_20250214_1853\aug_18.jpg,0.0,
augmented_20250214_1853\aug_19.jpg,0.0,gaussian_blur_elastic_transform_add_rain
augmented_20250214_1853\aug_20.jpg,1.0,
augmented_20250214_1853\aug_21.jpg,1.0,random_flip_random_rotation_color_jitter_random_erasing
augmented_20250214_1853\aug_22.jpg,0.0,
augmented_20250214_1853\aug_23.jpg,0.0,random_flip_random_rotation_random_crop_mosaic
augmented_20250214_1853\aug_24.jpg,0.0,
augmented_20250214_1853\aug_25.jpg,0.0,random_rotation_color_jitter_random_perspective_random_affine
augmented_20250214_1853\aug_26.jpg,1.0,
augmented_20250214_1853\aug_27.jpg,1.0,color_jitter_salt_pepper_grid_distortion
augmented_20250214_1853\aug_28.jpg,0.0,
augmented_20250214_1853\aug_29.jpg,0.0,color_jitter_random_perspective_random_affine
augmented_20250214_1853\aug_30.jpg,0.0,
augmented_20250214_1853\aug_31.jpg,0.0,random_flip_color_jitter_gaussian_blur_elastic_transform
augmented_20250214_1853\aug_32.jpg,0.0,
augmented_20250214_1853\aug_33.jpg,0.25,random_flip_mixup_mosaic
augmented_20250214_1853\aug_34.jpg,1.0,
augmented_20250214_1853\aug_35.jpg,1.0,random_flip_random_rotation_color_jitter_gaussian_blur_contrast_shift
augmented_20250214_1853\aug_36.jpg,0.0,
augmented_20250214_1853\aug_37.jpg,0.0,random_rotation_random_perspective_elastic_transform
augmented_20250214_1853\aug_38.jpg,1.0,
augmented_20250214_1853\aug_39.jpg,1.0,random_rotation_random_perspective_random_affine
augmented_20250214_1853\aug_40.jpg,0.0,
augmented_20250214_1853\aug_41.jpg,0.0,color_jitter_random_crop_mosaic
augmented_20250214_1853\aug_42.jpg,0.0,
augmented_20250214_1853\aug_43.jpg,0.0,random_flip_color_jitter_random_perspective_random_erasing
augmented_20250214_1853\aug_44.jpg,0.0,
augmented_20250214_1853\aug_45.jpg,0.0,color_jitter_gaussian_blur_salt_pepper
augmented_20250214_1853\aug_46.jpg,1.0,
augmented_20250214_1853\aug_47.jpg,1.0,random_flip_random_rotation_color_jitter_gaussian_blur
augmented_20250214_1853\aug_32.jpg,0.0,
augmented_20250214_1853\aug_33.jpg,0.0,random_rotation_gaussian_blur_salt_pepper
augmented_20250214_1853\aug_34.jpg,0.0,
augmented_20250214_1853\aug_35.jpg,0.0,random_rotation_color_jitter_random_affine_random_erasing
augmented_20250214_1853\aug_36.jpg,1.0,
augmented_20250214_1853\aug_37.jpg,1.0,color_jitter_random_affine_gaussian_blur
augmented_20250214_1853\aug_38.jpg,0.0,
augmented_20250214_1853\aug_39.jpg,0.0,random_flip_random_rotation_gaussian_blur_add_glare
augmented_20250214_1853\aug_40.jpg,1.0,
augmented_20250214_1853\aug_41.jpg,1.0,color_jitter_random_perspective_gaussian_blur
augmented_20250214_1853\aug_42.jpg,1.0,
augmented_20250214_1853\aug_43.jpg,1.0,random_rotation_color_jitter
augmented_20250214_1853\aug_44.jpg,0.0,
augmented_20250214_1853\aug_45.jpg,0.0,random_flip_random_rotation_color_jitter_random_affine
augmented_20250214_1853\aug_46.jpg,0.0,
augmented_20250214_1853\aug_47.jpg,0.0,random_perspective_gaussian_blur_salt_pepper
augmented_20250214_1853\aug_48.jpg,0.0,
augmented_20250214_1853\aug_49.jpg,0.0,color_jitter_random_perspective_random_erasing
augmented_20250214_1853\aug_50.jpg,0.0,
augmented_20250214_1853\aug_51.jpg,0.0,random_perspective_grid_distortion_add_rain
augmented_20250214_1853\aug_52.jpg,1.0,
augmented_20250214_1853\aug_53.jpg,1.0,random_flip_random_rotation_color_jitter_random_perspective
augmented_20250214_1853\aug_54.jpg,0.0,
augmented_20250214_1853\aug_55.jpg,0.0,color_jitter_random_perspective_grid_distortion
augmented_20250214_1853\aug_56.jpg,0.0,
augmented_20250214_1853\aug_57.jpg,0.0,random_rotation_random_perspective_mixup
augmented_20250214_1853\aug_58.jpg,0.0,
augmented_20250214_1853\aug_59.jpg,0.0,random_flip_random_rotation_random_perspective_gaussian_blur
augmented_20250214_1853\aug_60.jpg,0.0,
augmented_20250214_1853\aug_61.jpg,0.0,salt_pepper_add_rain
augmented_20250214_1853\aug_62.jpg,1.0,
augmented_20250214_1853\aug_63.jpg,1.0,gaussian_blur_elastic_transform_random_crop
augmented_20250214_1853\aug_48.jpg,0.0,
augmented_20250214_1853\aug_49.jpg,0.0,random_flip_random_rotation_random_perspective_gaussian_blur
augmented_20250214_1853\aug_50.jpg,1.0,
augmented_20250214_1853\aug_51.jpg,1.0,random_rotation_gaussian_blur_salt_pepper
augmented_20250214_1853\aug_52.jpg,1.0,
augmented_20250214_1853\aug_53.jpg,1.0,random_flip_random_rotation_color_jitter_random_perspective
augmented_20250214_1853\aug_54.jpg,1.0,
augmented_20250214_1853\aug_55.jpg,1.0,random_flip_random_rotation_grid_distortion
augmented_20250214_1853\aug_56.jpg,0.0,
